Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
77,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,77,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
78,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,78,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
79,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,79,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
80,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,80,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
81,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,81,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
82,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,82,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
83,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,83,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
84,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,84,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
85,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,85,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
86,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,86,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
87,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,87,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
88,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,88,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
89,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,89,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
90,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,90,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
91,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,91,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
92,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,92,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
93,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,93,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
94,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,94,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
95,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,95,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
96,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,96,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
97,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,97,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
98,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,98,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
99,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,99,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
100,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,100,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
101,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,101,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
102,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,102,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
103,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,103,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
104,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,104,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
105,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,105,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
106,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,106,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
107,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,107,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
108,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,108,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
109,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,109,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
110,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,110,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
